OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID,Latitude,Longitude
9605,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10425,Not Specified,AERIAL,F,Not Specified,7324,Not Specified,{AE353582-7787-4877-92E5-E119773C6D18},40.08354096012073,-88.2424089223667
9606,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10426,Not Specified,AERIAL,F,Not Specified,7325,Not Specified,{59AC4E9C-AF46-40BB-A94A-43F90D79B765},40.08347873341663,-88.24128395245977
9607,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10427,Not Specified,AERIAL,F,Not Specified,7326,Not Specified,{0D604CBC-737E-43E2-B643-79C995440E29},40.08344544233532,-88.23996474598162
9608,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10428,Not Specified,AERIAL,F,Not Specified,7327,Not Specified,{FF96C27F-B8FA-4AAB-9DDC-B6DCB351327C},40.08343554291649,-88.2388565083231
9609,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10429,Not Specified,AERIAL,F,Not Specified,7328,Not Specified,{4AA8B985-CBF4-4525-BAAA-6D0B479CFF72},40.083272634938595,-88.23886382712271
9610,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10430,Not Specified,AERIAL,F,Not Specified,7329,Not Specified,{DB7E4235-B854-458D-A6A8-BB201141B8BB},40.083280205978504,-88.23997519237695
9611,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10431,Not Specified,AERIAL,F,Not Specified,7330,Not Specified,{07A5190C-AABF-4C08-9703-4E0784D93246},40.08331285519696,-88.24131191368325
9612,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10432,Not Specified,AERIAL,F,Not Specified,7331,Not Specified,{00350CED-D16C-40A0-8302-C35060FBFAB5},40.08337048954549,-88.2424360216875
9613,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10433,Not Specified,AERIAL,F,Not Specified,7332,Not Specified,{BB0F3832-D5D0-453C-842E-9BE5203ACD5E},40.08341759741726,-88.24344886211443
9614,No Parking,"12"" X 18""",Not Specified,U-Channel,,Parking,Not Specified,R7-1,Champaign,10434,Not Specified,AERIAL,F,Not Specified,7333,Not Specified,{49E2937C-2E19-4D74-94D8-02438A4F9AF0},40.083441019605466,-88.24563019636622
9615,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10435,Not Specified,AERIAL,F,Not Specified,7334,Not Specified,{FD1C6D31-481D-4A3D-A6A6-BE0C5FED506A},40.093932246246496,-88.24901902885823
9616,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10436,Not Specified,AERIAL,F,Not Specified,7335,Not Specified,{91A17AB6-5656-427E-93F8-DCC785A13C14},40.09714287461715,-88.24657521372005
9617,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10437,Not Specified,AERIAL,J,Not Specified,7336,Not Specified,{3A2DEACF-1F73-4092-9B37-F587586C0252},40.11351615151124,-88.23485545650969
9618,3 hr max Parking Time Limit Zone No Parking 3am-5am,"12"" X 18""",Not Specified,Streetlight,,Parking,Not Specified,R7-108,Champaign,10438,Not Specified,AERIAL,J,Not Specified,7337,Not Specified,{367B42BF-F512-4E9D-AC1E-81B61B17F2F0},40.11339982608278,-88.23483021792899
9619,3 hr max Parking Time Limit Zone No Parking 3am-5am,"12"" X 18""",Not Specified,Streetlight,,Parking,Not Specified,R7-108,Champaign,10439,Not Specified,AERIAL,J,Not Specified,7338,Not Specified,{D4AD49AA-DBF8-4215-A99A-1F58AED333DA},40.11339678803357,-88.23439143328763
9620,No Parking Fire Lane,"12"" X 18""",Not Specified,Old Metal Post,,Parking,Not Specified,R7-1,Champaign,10440,Not Specified,AERIAL,J,Not Specified,7339,Not Specified,{8A8B9E1D-CD20-4B02-B2DA-DE3A49F4292A},40.1134163039856,-88.23406130874939
9621,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10441,Not Specified,AERIAL,J,Not Specified,7340,Not Specified,{E73C60BE-B8C1-4934-AEBC-6F1A735CAA9D},40.1133266145278,-88.23342882861202
9622,No Parking,"12"" X 18""",Not Specified,Punched Telespar,,Parking,Not Specified,R7-1,Champaign,10442,Not Specified,AERIAL,J,Not Specified,7341,Not Specified,{9DECCBB2-C39F-40CC-874E-B62A9CF6E9EC},40.11308427075423,-88.23343604649925
9623,No Parking,"12"" X 18""",Not Specified,Unpunched Telespar,2016-01-01,Parking,Not Specified,R7-1,Champaign,10443,Not Specified,AERIAL,J,Not Specified,7342,Not Specified,{758F270B-D251-4B8D-B36C-9083FECEC91B},40.11352866127449,-88.23338882394803
