OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID,Latitude,Longitude
1355,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255945.955125,1013341.68755,3.0,,2516,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{5D70AEDD-771B-4D87-9FE5-1AD3366812CD},40.11535014565257,-88.22933604113994
1356,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255976.602325,1013205.581175,3.0,,2517,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{AEF7C1BF-1C8C-47E3-9C5E-E9347D671FEE},40.11544155074976,-88.22980935599635
1357,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255936.17529999,1013064.496975,3.0,,2518,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{1603622D-EE15-40C0-8C2B-E0DEE9B9E4E1},40.11532930229907,-88.23030726281478
1358,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255973.39669999,1012926.951375,3.0,,2519,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{ECC4ADB1-9ABB-4A53-83B9-E6E6F96717EE},40.115436302839676,-88.23080261580587
1359,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255938.91135,1012795.1733,3.0,,2520,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{A1D2CFA5-94AC-4FF6-BB68-F86F41A3B8CF},40.11534406044055,-88.23127525171901
1360,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255971.510525,1012662.279175,3.0,,2521,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{C9015EBB-7384-45CE-A8BB-CD8450453AC1},40.115429293090294,-88.23175193207206
1361,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255916.36809999,1012581.20305,3.0,,2522,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{35D9F11F-525F-468C-8FA1-E64DA60310D0},40.11527817563102,-88.23204204185623
1362,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1256065.76255,1012546.71655,3.0,,2523,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{79512C85-54A8-48E4-9A77-3CE6A6B1483F},40.115688386662825,-88.23216473898889
1363,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1256210.182375,1012579.9616,3.0,,2524,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{4B50F272-D590-4216-AE5B-3FEAB1BF5995},40.116084730757144,-88.23204528406633
1364,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255973.513775,1012398.076675,3.0,,2526,No,Not Specified,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,Not Specified,Not Specified,{8D52F3D2-C6D5-4C13-8ED1-B8F3AB3159AD},40.11543371291633,-88.23269955266468
