OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID,Latitude,Longitude
1,Steel,Traffic Signal,Cobra,HPS,250,SL006,1267212.311475,1005283.201,6.0,2005-01-01 06:00:00,1,No,Not Specified,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3D9252A0-98F3-41A1-9CE0-8D9AB468C8F5},40.14630655021276,-88.25810949778356
2,Aluminum,Truss Arm,Cobra,LED,Not Specified,SL060,1255992.918275,1010449.98265,4.0,2017-01-01 06:00:00,4,No,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{3F9D8B79-1F27-427D-86F4-CC5D4472F47D},40.115463369679254,-88.2396714800873
3,Cast Aluminum,Other,Globe,IND,85,SL048,1256265.682725,1010762.002675,1.0,,7,Yes,Not Specified,Black,Sternberg,QL,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{A210936D-18C6-43A0-8A43-111608E5E6E9},40.11624258677347,-88.23854517994724
4,Aluminum,Combo,Cobra,Other,250/85,SL048,1256269.251825,1011333.168,6.0,,11,No,Not Specified,Black,Not Specified,GE-HPS/QL-IND,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{123E4305-5BB1-4A96-99CD-8A7F7C084441},40.11625222384569,-88.236535503852
5,Cast Iron,Other,Globe,IND,55,SL008,1257328.53399999,1004593.931,7.0,,14,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{38DA6762-EFE8-45AA-A24E-3753FB014509},40.119176175266176,-88.2605960564145
6,Cast Iron,Other,Globe,IND,55,SL008,1257237.4956,1004666.847,7.0,,15,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{4922142E-49E3-4326-ACD0-D49296572309},40.11891866149941,-88.2603266677127
7,Cast Iron,Other,Globe,IND,55,SL008,1257136.53675,1004669.607,7.0,,16,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{4F94CB51-0814-4731-891F-FF5B318BC2B1},40.11864551920817,-88.26032354961028
8,Cast Aluminum,Other,Globe,HPS,100,SL084,1252345.1626,1004126.934,1.0,,19,No,Not Specified,Green,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{E4D5E0FA-2245-4CF5-A347-79DB08D9DBD3},40.105497316755105,-88.26228011699612
9,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.7511,1013437.815,4.0,,22,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{D4CAD77B-552D-427C-8360-8802F0C473EC},40.118389455619905,-88.22897450652107
10,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.82545,1013286.548,4.0,,23,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A1E3619F-435B-431D-A4BC-78E0F9F7E725},40.118390146147675,-88.22951537589127
11,Aluminum,Davit,Cobra,HPS,100,SL046,1257051.54265,1013071.394,4.0,,24,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{023011F1-4F87-427E-B143-7DB80AEB3683},40.11839280194605,-88.23028468281696
12,Aluminum,Davit,Cobra,HPS,100,SL046,1257072.29194999,1013045.877,4.0,,25,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{34AB0C9C-8D22-4E6B-A41C-F31BE9541E44},40.11844984206808,-88.23037583597674
13,Aluminum,Davit,Cobra,HPS,100,SL046,1256897.426925,1013042.299,4.0,,26,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{7C701F35-2123-4245-BF02-87B4C5BF862C},40.117969830550464,-88.23038935135266
14,Aluminum,Davit,Cobra,HPS,100,SL046,1256723.746925,1013043.75,4.0,,27,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{C37089F6-6B0A-4864-B091-7A1A08589AEC},40.11749305696414,-88.23038488526971
15,Aluminum,Davit,Cobra,HPS,100,SL046,1257050.06039999,1012982.706,4.0,,28,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{C77EDC99-EEAB-460C-A1D2-A8B65A53B7FE},40.11838901464599,-88.23060180264697
16,Cast Aluminum,Other,Globe,HPS,100,SL025,1257328.4366,1009279.594475,1.0,,30,Yes,Not Specified,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{0918E784-9A66-4370-86C9-1B496301EFF5},40.11916417379598,-88.24384171500465
17,Aluminum,Pipe Arm,Cobra,HPS,250,SL025,1257022.921,1008565.101825,4.0,,31,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{90E5D56A-8560-4232-B38B-750EC0F3E680},40.1183253632084,-88.24641364558848
18,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257731.43545,1009254.237,4.0,,32,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{D318CE06-EE61-4815-814F-57FF24FF0DA3},40.12027051754862,-88.24393093612704
19,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257676.18584999,1009166.886,4.0,,33,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A7FEA43A-47E4-455C-9FCD-1835DDA7B206},40.120119092458374,-88.24424347493847
20,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257734.64805,1008935.67,4.0,,34,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{74A7836C-6619-43D4-BBA1-FD8AAE7FDB1E},40.12028151660022,-88.24506366532879
21,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257729.204475,1009077.443,4.0,,35,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{8D22542E-01BE-4585-9B0D-81E4FD843461},40.12026487956859,-88.24456310806981
22,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257745.90967499,1008876.867,4.0,,36,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{598534ED-7A5F-4BD7-AC02-B870C8770748},40.12031128203255,-88.24527639366733
23,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257682.5733,1008864.419,4.0,,37,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{834A2ECD-B671-4AAA-B575-29B579B9C149},40.12013745357245,-88.24532498732049
24,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257506.326325,1008927.411,4.0,,38,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{79361117-2AB4-4393-9059-D08A0081D7DA},40.11965346582035,-88.2451003727131
25,Aluminum,Pipe Arm,Cobra,HPS,250,SL024,1257385.210175,1008927.215,4.0,,39,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A2D37C25-752E-4FBC-A1B7-0A51B43B5691},40.11932099061095,-88.24510150280766
26,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257511.7101,1009435.025375,6.0,,43,Yes,A,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{228805E3-DD19-4AB3-B9AC-F99377C209D2},40.119666848062174,-88.2432852837809
27,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257246.533175,1009490.1184,6.0,,44,Yes,B,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{33222056-2EC6-4E76-8CD8-4221FE2ECC74},40.11893875640083,-88.24308925064766
28,Cast Aluminum,Other,Globe,Not Specified,100,SL032,1257166.77265,1009448.4094,1.0,,45,No,H,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{F5C722A7-5E6D-4B5A-85C2-A7970FC0DD16},40.11872408941646,-88.24323541157052
29,Cast Aluminum,Other,Globe,Not Specified,100,SL032,1257150.089975,1009415.2862,1.0,,46,No,H,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{6479CE41-83D0-4A8B-851C-4AA9B73C5D9F},40.11867087909544,-88.24335517390152
30,Cast Aluminum,Other,Globe,Not Specified,100,SL032,1257088.29149999,1009397.6563,1.0,,47,No,H,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{DC5B6F41-E770-42DC-B0CF-0E1DBE6F88F8},40.118502411468356,-88.24342408354417
31,Cast Aluminum,Other,Globe,Not Specified,100,SL032,1257038.85145,1009384.2886,1.0,,48,No,H,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{91DE5015-C6C7-495F-BB6D-C0FB481CC33B},40.118372799675356,-88.24346430864017
32,Cast Aluminum,Other,Globe,IND,85,SL032,1256951.513175,1009457.778075,1.0,,49,Yes,H,Black,Sternberg,QL,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{CC1F3CD2-7FE9-4B50-9010-DCD1AC9618B3},40.118133559118235,-88.2432039026258
33,Cast Aluminum,Other,Globe,Not Specified,100,SL032,1257056.474425,1009607.860725,1.0,,51,No,H,Black,Not Specified,GE,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{698BE613-0491-4A97-B163-3C076DB491D3},40.118421049845004,-88.24266715471481
34,Aluminum,Truss Arm,Cobra,HPS,250,SL032,1257135.015075,1009343.57375,6.0,,54,Yes,Not Specified,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{ED306BB9-4163-4C50-B89D-4EC10F295F7F},40.11863889526593,-88.24361177442822
35,Concrete,Pipe Arm,Cobra,HPS,100,SL012,1263331.969025,1007359.073,3.0,,55,No,Not Specified,Natural,Unknown,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{ABDDA14F-0103-4D8F-99F4-F8C1BCAA52C1},40.1356495684486,-88.25067598665609
36,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257371.054075,1009525.046,6.0,,56,Yes,B,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{BA71EF34-2B2B-41BD-B71B-0084108A8C72},40.119280482332336,-88.24296390880285
37,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257453.494075,1009462.133,6.0,,57,Yes,B,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{13639F81-8F70-485E-815F-3248AE0E2DC2},40.11950696344652,-88.24318856671768
38,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257505.092475,1009504.066,6.0,,58,Yes,B,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{9DF6E207-89D4-45F2-A9CB-F6828350B7B9},40.119648490298964,-88.24303843935587
39,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257326.76132499,1009444.393,6.0,,59,Yes,B,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3CEAE994-D68B-408D-A270-80C3C386AB86},40.11915911840232,-88.24325245875903
40,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257233.82635,1009426.37,6.0,,60,Yes,A,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A59446A6-63BB-470E-8A59-1D6E3B59FA80},40.11890405265821,-88.24331723784957
41,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257404.51154999,1009439.014,6.0,,61,Yes,A,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{6CEAC489-6E99-4575-A4E5-384C94399CD4},40.11937256566795,-88.24327140920221
42,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257518.1692,1009575.465,6.0,,62,Yes,B,Black,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{2BF5E811-73AA-436B-840B-ADE3511E85C7},40.119684187103765,-88.24278309329478
43,Cast Aluminum,Other,Globe,IND,85,SL032,1256819.5285,1009728.893,1.0,,63,Yes,E,Black,Sternberg,QL,Yes,Not Specified,AERIAL,Not Specified,10/12/18,{1867C44F-08C3-43D5-8606-7EFA3F144470},40.11777136484806,-88.24225725373435
44,Aluminum,Pipe Arm,Cobra,HPS,250,SL032,1256829.7811,1009702.793,4.0,,64,Yes,A,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,10/12/18,{9C2B78C7-3516-4F72-9398-EDADEEA9368D},40.117790994498286,-88.24233816032363
45,Cast Iron,Other,Globe,IND,55,SL029,1257366.615275,1008173.19,7.0,,69,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{25273EDA-CACA-4E28-8DE7-2830DBEACE42},40.119281553430376,-88.24780682364229
46,Cast Iron,Other,Globe,IND,55,SL029,1257368.266875,1008013.078,7.0,,70,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{C24DD411-12AD-4886-998A-59511C2D6BF3},40.11927049134449,-88.24837375815719
47,Cast Iron,Other,Globe,IND,55,SL029,1256663.553525,1005964.728,7.0,,71,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{215A729B-7734-4558-8FCA-3005D2485427},40.117344693001655,-88.2556968771784
48,Cast Iron,Other,Globe,IND,55,SL029,1256613.081075,1006177.46,7.0,,72,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{BAD3D783-9279-4E97-A7C2-E332C4978634},40.1172182059624,-88.25493110989119
49,Cast Iron,Other,Globe,IND,55,SL029,1256613.533425,1006451.957,7.0,,73,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{75CD04E1-9B88-4C43-B777-5E7757BCB474},40.11721487594733,-88.25395602568193
50,Cast Iron,Other,Globe,IND,55,SL029,1256663.01639999,1006964.726575,7.0,,74,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{A6BD0E68-4441-479A-9414-CC93AD0BEF4E},40.117342198193576,-88.25212442227543
51,Cast Iron,Other,Globe,IND,55,SL029,1256661.84452499,1007251.522425,7.0,,76,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{44325FC4-2395-4777-8D13-38FBB09621C0},40.1173381397682,-88.25110042792568
52,Cast Iron,Other,Globe,IND,55,SL029,1257359.22315,1006962.721,7.0,,77,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{BC3F51C9-CE1D-4AF1-841C-6E6F3C3E4C96},40.11925493927365,-88.2521326685127
53,Cast Iron,Other,Globe,IND,55,SL029,1257357.73105,1006818.03,7.0,,78,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{441E0707-2D97-453B-8995-6E3677CCC7E7},40.11925530462742,-88.25265158818794
54,Cast Iron,Other,Globe,IND,55,SL029,1257321.66355,1006449.566,7.0,,79,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{76D24E6C-B95D-428F-8B71-7FDA22E2B708},40.11914308798318,-88.25395392317422
55,Cast Iron,Other,Globe,IND,55,SL029,1257357.16582499,1005951.209825,7.0,,80,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{4C87111C-332B-48A3-A831-119B64337488},40.119251623057906,-88.2557427980225
56,Cast Iron,Other,Globe,IND,55,SL029,1257316.3886,1005453.171475,7.0,,81,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{7DAC8D1E-D346-42B6-A1CC-A7D92DC47946},40.11914372495992,-88.25752473005765
57,Cast Iron,Other,Globe,IND,55,SL029,1257725.2238,1005738.0035,7.0,,83,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{72300D88-30D9-464F-85D0-BAB67C15C98F},40.12025662543132,-88.2565019111892
58,Cast Iron,Other,Globe,IND,55,SL029,1257726.497325,1006187.133,7.0,,84,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{87A38C4E-EE60-4287-A920-00BC3D93AA12},40.1202520644094,-88.25489725880699
59,Cast Iron,Other,Globe,IND,55,SL029,1257725.678075,1006513.534,7.0,,85,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{6E896BD2-24E6-43FD-BA4D-CB945CE5407F},40.120248521737686,-88.25373483243702
60,Cast Iron,Other,Globe,IND,55,SL029,1257688.558075,1005527.398,7.0,,87,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{C857E3BC-094D-4DF2-9378-BB9172E145AB},40.12015376618849,-88.2572716054031
61,Cast Iron,Other,Globe,IND,55,SL029,1257685.97702499,1005679.344,7.0,,88,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{1A99C58A-A8C2-4021-B060-79D69965E0BB},40.120154893284415,-88.25671611886014
62,Cast Iron,Other,Globe,IND,55,SL029,1257683.175025,1005811.973,7.0,,89,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{9405A555-EB86-4004-968D-44DAE923172E},40.12015105300832,-88.25623700766536
63,Cast Iron,Other,Globe,IND,55,SL029,1257682.8796,1007014.308,7.0,,90,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{60D5088D-DADD-44A6-B6DA-DDBB5C650E6D},40.120141258854126,-88.2519190344074
64,Cast Iron,Other,Globe,IND,55,SL029,1257524.186425,1007495.583,7.0,,91,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{2BAFDFBF-D574-4E36-94F7-187FE0F41477},40.1197062811131,-88.25022008017532
65,Cast Iron,Other,Globe,IND,55,SL029,1257360.898575,1007710.248825,7.0,,92,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{7DD18CA3-25E5-477C-8BA6-3ED97812514F},40.1192569179443,-88.2494585153256
66,Cast Iron,Other,Globe,IND,55,SL029,1257361.51435,1007552.991225,7.0,,93,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{59291489-F3B7-4FBF-A7C5-D794BA954340},40.11925516846607,-88.25001938003092
67,Cast Iron,Other,Globe,IND,55,SL029,1257360.30424999,1007246.824,7.0,,94,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{0BC20A19-C1A0-4A7E-919A-8E6C9309D0DB},40.119255495108625,-88.25111290067348
68,Cast Iron,Other,Globe,IND,55,SL029,1257683.87819999,1006132.93,7.0,,99,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{5F712057-C976-4401-A9FA-A5C794499B76},40.120148338329784,-88.25510180922018
69,Cast Iron,Other,Globe,IND,55,SL029,1257507.429375,1007031.965,7.0,,100,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{0031D156-84F9-44D2-80DB-D1ACE6C1F0CE},40.11966145865639,-88.25187788684768
70,Cast Iron,Other,Globe,IND,55,SL029,1257436.3285,1007072.553,7.0,,101,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{D076AF9F-4297-4C10-BF36-D452B14AA3D9},40.11947820792242,-88.25172832144402
71,Cast Iron,Other,Globe,IND,55,SL029,1257362.389225,1006671.575,7.0,,102,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{608FCEC1-65D2-4C46-A923-28113300BA94},40.1192542467934,-88.25316576780212
72,Cast Iron,Other,Globe,IND,55,SL029,1257360.213425,1006523.53,7.0,,103,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{9F451CC1-BE37-45EF-A05B-A4BD10AE4525},40.11925164156328,-88.25369618279986
73,Cast Iron,Other,Globe,IND,55,SL029,1257358.269875,1006386.24095,7.0,,104,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{38712EF7-4853-4BC8-8FE3-063DE0812308},40.11925103176968,-88.25419273459755
74,Cast Iron,Other,Globe,IND,55,SL029,1257359.31017499,1006243.322475,7.0,,105,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{F2E79E6E-0631-4D94-9919-9FBF253AC9A9},40.11925294728691,-88.25470165047754
75,Cast Iron,Other,Globe,IND,55,SL029,1257365.819625,1007846.189,7.0,,106,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{02F15CF2-EC17-4808-91EE-50BF0D7EBCD2},40.119259465598,-88.24896842141352
76,Aluminum,Davit,Cobra,HPS,100,SL016,1259614.707125,1008479.931,4.0,,107,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3E56FF78-562F-4F51-8984-0D844085CBF7},40.12544239593036,-88.24669307300653
77,Aluminum,Davit,Cobra,HPS,100,SL016,1259612.04115,1008357.51,4.0,,108,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{B2BB0077-3189-422F-A057-D512C1CE9ECB},40.12543540414524,-88.24713085722674
78,Aluminum,Davit,Cobra,HPS,100,SL016,1259611.288575,1008162.627,4.0,,109,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{D0DB9E1B-1356-49F5-92A9-29CFA5BA04C7},40.12543383726182,-88.2478040980928
79,Aluminum,Davit,Cobra,HPS,100,SL016,1259612.41645,1008016.831,4.0,,110,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{ECAAE488-C134-440D-90D2-2EDD9FB9E25C},40.12543732925652,-88.24834153908529
80,Aluminum,Davit,Cobra,HPS,100,SL016,1259612.56665,1007838.128,4.0,,112,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{9150F64B-8DCB-4241-A068-11ACD74C07A9},40.12543821446657,-88.24898816117305
81,Aluminum,Davit,Cobra,HPS,100,SL016,1259613.17765,1007691.984,4.0,,113,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{E7A949E4-7936-46F7-AFD9-DA6AA04E513E},40.12544027085077,-88.24951076979055
82,Aluminum,Davit,Cobra,HPS,100,SL016,1259651.51244999,1007547.519,4.0,,114,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{BC66B935-826B-4D72-86D7-224A29730622},40.1255458767821,-88.25002724514003
83,Aluminum,Davit,Cobra,HPS,100,SL016,1260171.17969999,1007478.424,4.0,,115,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{70EAA936-5CC2-466D-A610-866B5455709A},40.12697259347273,-88.25027259111633
84,Aluminum,Davit,Cobra,HPS,100,SL016,1259326.256125,1008048.574,4.0,,117,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3DE0809C-C6D3-46F6-9418-02CCBB11A11C},40.12465171177327,-88.24823658597168
85,Aluminum,Davit,Cobra,HPS,100,SL019,1258777.143325,1005597.333275,4.0,,118,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{7C1CF8C8-7051-44EF-BD26-20542B8A8DC2},40.12315044972362,-88.2570037833932
86,Aluminum,Davit,Cobra,HPS,100,SL019,1258777.087375,1005743.0918,4.0,,119,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{FC5FD1B7-FFA6-4D40-907C-4457E5E91335},40.12314995193572,-88.25648256997626
87,Aluminum,Davit,Cobra,HPS,100,SL019,1258776.958275,1005922.272575,4.0,,120,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{237E9330-AA30-4C67-98FF-38395474B295},40.12314917015934,-88.25584184346482
88,Aluminum,Davit,Cobra,HPS,100,SL019,1258776.188,1006099.3468,4.0,,121,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{1D997EEA-CBEF-440A-8029-BF93D866F193},40.12314663010272,-88.25520865082329
89,Aluminum,Davit,Cobra,HPS,100,SL019,1258776.147975,1006292.60135,4.0,,122,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{513CC908-B224-47F6-A1CB-BBD00733E9A3},40.123146052010895,-88.25451759805533
90,Aluminum,Davit,Cobra,HPS,100,SL019,1258775.219675,1006600.880775,4.0,,123,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{3C41F003-7BDC-43A9-94D7-77DB41FDF6EA},40.12314274871775,-88.25341523490779
91,Aluminum,Davit,Cobra,HPS,100,SL019,1259089.32382499,1006588.447,4.0,,124,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{A72761AF-5F7D-4A78-88BD-B6C747146884},40.12399990724509,-88.25346272891969
92,Aluminum,Davit,Cobra,HPS,100,SL019,1259084.690375,1006406.60775,4.0,,125,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{75544AD3-808D-4D12-8AAF-92B69C0A6BE5},40.123992755238994,-88.25410894321857
93,Aluminum,Davit,Cobra,HPS,100,SL019,1259084.279075,1006238.98765,4.0,,126,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{BA416BCD-2DA1-4AC3-BB82-F19EEEB5784C},40.12399203432657,-88.25470833936096
94,Aluminum,Davit,Cobra,HPS,100,SL019,1259084.33205,1006057.05095,4.0,,127,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{50503106-1A8F-4244-8099-6CCF19F29DB2},40.12399261917153,-88.25535892886123
95,Aluminum,Davit,Cobra,HPS,100,SL019,1259084.31155,1005880.277825,4.0,,128,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{59497E86-9C79-4BAB-A770-3CEF9A9D6BF9},40.123992987194356,-88.25599105482229
96,Aluminum,Davit,Cobra,HPS,100,SL019,1259084.404025,1005721.383825,4.0,,129,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{102EF485-20C7-4D60-9F00-F48D705AC949},40.12399361921663,-88.25655924586975
97,Aluminum,Davit,Cobra,HPS,100,SL019,1259086.490075,1005557.402625,4.0,,130,No,Not Specified,Natural,Not Specified,GE,No,Not Specified,AERIAL,Not Specified,Not Specified,{73768CEA-DB63-415F-9992-45CC8DB3B77D},40.12399973260107,-88.25714562125319
98,Cast Iron,Other,Globe,IND,55,SL030,1255280.628975,1006484.049,7.0,,136,No,Not Specified,Green,Not Specified,QL,Yes,Not Specified,AERIAL,Not Specified,Not Specified,{A1B42352-6BD4-4447-AC4B-E9D17FA3FBDC},40.113544880495944,-88.25385958180904
