X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate,GlobalID
-9822903.79445771,4881962.30918793,3637,Cast Aluminum,Other,Teardrop,LED,,SL118,1254046.62528,1010176.72028,1,2018/01/01 06:00:00+00,9870,No,118D2,Black,Sternberg,GE,Yes, ,GPS,,,{1490D60E-A95D-4BA2-932E-5F23BAFBBC3E}
-9822951.92098971,4881961.49411369,3638,Cast Aluminum,Other,Teardrop,LED,,SL118,1254044.45961,1010055.79792,1,2018/01/01 06:00:00+00,9871,No,118C2,Black,Sternberg,GE,Yes, ,GPS,,,{9C11744B-909D-48DD-AE91-0E14AEEA6F70}
-9823002.58676624,4881978.33875572,3639,Cast Aluminum,Other,Teardrop,LED,,SL118,1254086.48597,1009928.44989,1,2018/01/01 06:00:00+00,9872,No,118B1,Black,Sternberg,GE,Yes, ,GPS,,,{F1514840-5D72-4A20-A143-1E1A755BEB52}
-9822952.56350498,4881979.34821168,3640,Cast Aluminum,Other,Teardrop,LED,,SL118,1254089.14236,1010054.13712,1,2018/01/01 06:00:00+00,9873,No,118B2,Black,Sternberg,GE,Yes, ,GPS,,,{BA52C4B9-3343-4D8A-ABE4-0F139BE237A9}
-9822902.75007527,4881979.97092293,3641,Cast Aluminum,Other,Teardrop,LED,,SL118,1254090.8312,1010179.2982,1,2018/01/01 06:00:00+00,9874,No,118B3,Black,Sternberg,GE,Yes, ,GPS,,,{A4FADECA-F352-4460-A012-297A389B83B2}
-9822821.43047005,4881979.40505362,3642,Cast Aluminum,Other,Teardrop,LED,,SL118,1254089.62881,1010383.62596,1,2018/01/01 06:00:00+00,9875,No,118B5,Black,Sternberg,GE,Yes, ,GPS,,,{893B52D4-AA3D-4BB2-9EDF-5EC40D98B728}
-9822777.58664279,4881979.98348215,3643,Cast Aluminum,Other,Teardrop,LED,,SL118,1254091.19221,1010493.78783,1,2018/01/01 06:00:00+00,9876,No,118A6,Black,Sternberg,GE,Yes, ,GPS,,,{6F473E3B-FE5A-4C68-800A-46160006B773}
-9822728.2248732,4881981.32952897,3644,Cast Aluminum,Other,Teardrop,LED,,SL118,1254094.69235,1010617.81219,1,2018/01/01 06:00:00+00,9877,No,118B6,Black,Sternberg,GE,Yes, ,GPS,,,{3A565601-6729-4DE9-8B6D-5B68AA5F8CA5}
-9822644.58618095,4881981.71562946,3645,Cast Aluminum,Other,Teardrop,LED,,SL117,1254095.88231,1010827.96441,1,2018/01/01 06:00:00+00,9878,No,117C1,Black,Sternberg,GE,Yes, ,GPS,,,{106F2421-E2DE-4372-AB95-6A8B03108771}
-9822589.47406851,4881981.58177237,3646,Cast Aluminum,Other,Teardrop,LED,,SL117,1254095.69549,1010966.44108,1,2018/01/01 06:00:00+00,9879,No,117C2,Black,Sternberg,GE,Yes, ,GPS,,,{53C7B768-AFE9-4661-907A-A1DD82890621}
-9822543.04798674,4881982.41042295,3647,Cast Aluminum,Other,Teardrop,LED,,SL117,1254097.89515,1011083.09067,1,2018/01/01 06:00:00+00,9880,No,117C3,Black,Sternberg,GE,Yes, ,GPS,,,{249882E1-479F-4D81-AD23-8728E7408A38}
-9822543.0069623,4881965.29746145,3648,Cast Aluminum,Other,Teardrop,LED,,SL117,1254055.06531,1011083.23973,1,2018/01/01 06:00:00+00,9881,No,117A2,Black,Sternberg,GE,Yes, ,GPS,,,{12CBBF6E-AEA3-4A14-8CAB-79C18C283D3F}
-9822594.22676009,4881964.53978611,3649,Cast Aluminum,Other,Teardrop,LED,,SL117,1254053.03052,1010954.54511,1,2018/01/01 06:00:00+00,9882,No,117B1,Black,Sternberg,GE,Yes, ,GPS,,,{8C6D0498-159B-4E5B-9A8E-A0946BA59AF5}
-9822644.78244728,4881963.66564385,3650,Cast Aluminum,Other,Teardrop,LED,,SL117,1254050.70681,1010827.5196,1,2018/01/01 06:00:00+00,9883,No,117A1,Black,Sternberg,GE,Yes, ,GPS,,,{2FB46802-3561-4DB8-9801-1E1648DC6B25}
-9822728.25181705,4881962.73508427,3651,Cast Aluminum,Other,Teardrop,LED,,SL118,1254048.15459,1010617.79399,1,2018/01/01 06:00:00+00,9884,No,118C6,Black,Sternberg,GE,Yes, ,GPS,,,{E6C0D95F-F805-495A-BDC3-680DA8C3D043}
-9822776.99829825,4881962.56909867,3652,Cast Aluminum,Other,Teardrop,LED,,SL118,1254047.60982,1010495.31228,1,2018/01/01 06:00:00+00,9885,No,118C5,Black,Sternberg,GE,Yes, ,GPS,,,{082D5D7D-5F57-4D87-85D2-3A41F12DFB89}
-9822820.99103331,4881961.99030644,3653,Cast Aluminum,Other,Teardrop,LED,,SL118,1254046.04486,1010384.77589,1,2018/01/01 06:00:00+00,9886,No,118C4,Black,Sternberg,GE,Yes, ,GPS,,,{2C7EF93D-F5DC-4419-9C7D-2DFFC49964CC}
-9823002.58388318,4881960.82366399,3654,Cast Aluminum,Other,Teardrop,LED,,SL118,1254036.92045,1009927.46074,1,2018/01/01 06:00:00+00,9887,No,118D1,Black,Sternberg,GE,Yes,,GPS,,,{E5BCE879-5FA8-4DC5-8486-A41B372D0E1B}
-9823040.63100876,4881961.32536665,3655,Cast Aluminum,Other,Teardrop,LED,,SL118,1254043.80698,1009832.90231,1,2018/01/01 06:00:00+00,9888,No,118C1,Black,Sternberg,GE,Yes,Poor GPS signal while acquiring location,GPS,,,{0DCEB002-091A-4A1E-9DAB-A76C24CC03C7}
-9824805.40697445,4878120.09142003,3656,Steel,Truss Arm,Cobra,HPS,250,SL074,,,4,,9889,No,,Black,,GE,No,,AERIAL,,,{C031EEF4-BAB2-4621-ABC5-FFEBA0E6E09D}
-9824759.74980589,4878123.45004955,3657,Steel,Truss Arm,Cobra,HPS,250,SL074,,,4,,9890,No,,Black,,GE,No,,AERIAL,,,{1B1D218E-193D-451E-B81A-CE10D4289539}
-9824756.40054,4878082.25863815,3658,Steel,Truss Arm,Cobra,HPS,250,SL074,,,4,,9891,No,,Black,,GE,No,,AERIAL,,,{017443A9-1DC1-449B-9A95-761E3038316C}
-9824797.91602202,4878075.84556098,3659,Steel,Truss Arm,Cobra,HPS,250,SL074,,,4,,9892,No,,Black,,GE,No,,AERIAL,,,{98AB7B93-F0D4-4BA1-A3D0-833D5C68D47A}
-9830548.75869224,4876530.33265629,3660,Cast Aluminum,Other,Cobra,LED,,SL131,1240435.35423,990971.3822,8,2018/01/01 06:00:00+00,9893,No,A,Black,Sternberg,GE,Yes,,GPS,,,{14145C45-CABC-45EB-96B2-E65C7CF96494}
-9830546.68657849,4876456.09283563,3661,Cast Aluminum,Other,Teardrop,LED,,SL131,1240249.44912,990976.64141,2,2018/01/01 06:00:00+00,9894,No,A,Black,Sternberg,GE,Yes,,GPS,,,{1E40B724-96EC-4D56-AEC2-FD5A82EB9357}
-9830550.06735654,4876425.9076787,3662,Cast Aluminum,Other,Cobra,LED,,SL131,1240173.85855,990968.16264,8,2018/01/01 06:00:00+00,9895,No,A,Black,Sternberg,GE,Yes,,GPS,,,{BB1CE0E3-1BE7-4780-A1D5-E441B178E7AF}
-9830548.00856918,4876347.77068438,3663,Cast Aluminum,Other,Teardrop,LED,,SL131,1239978.19219,990973.39117,2,2018/01/01 06:00:00+00,9896,No,A,Black,Sternberg,GE,Yes,,GPS,,,{35FB9E8C-4221-4AEA-B0CA-B6D6647F12C8}
-9830551.42270633,4876317.61481631,3664,Cast Aluminum,Other,Cobra,LED,,SL131,1239902.67452,990964.82821,8,2018/01/01 06:00:00+00,9897,No,A,Black,Sternberg,GE,Yes,,GPS,,,{BEC51E9E-4626-4708-A89A-8E98F2DED202}
-9830554.91081734,4876229.04037666,3665,Cast Aluminum,Other,Cobra,LED,,SL131,1239680.56562,990956.81682,8,2018/01/01 06:00:00+00,9898,No,B,Black,Sternberg,GE,Yes,,GPS,,,{BE73B99B-656D-4B62-9EC2-7A11F7585DB0}
-9830563.57252914,4876214.28238733,3666,Cast Aluminum,Other,Cobra,LED,,SL131,1239643.30318,990935.15013,8,2018/01/01 06:00:00+00,9899,No,B,Black,Sternberg,GE,Yes,,GPS,,,{F25CF8DF-C5FC-4C86-93E3-28360B624DE1}
-9830603.28657657,4876144.87234914,3667,Cast Aluminum,Other,Teardrop,LED,,SL131,1239469.32564,990835.49502,2,2018/01/01 06:00:00+00,9900,No,B,Black,Sternberg,GE,Yes,,GPS,,,{D98DD70B-D6A1-4DB6-93FC-338C82ACEAF2}
-9830616.51811873,4876120.23945398,3668,Cast Aluminum,Other,Cobra,LED,,SL131,1239407.27146,990802.08359,8,2018/01/01 06:00:00+00,9901,No,B,Black,Sternberg,GE,Yes,,GPS,,,{5AAEAC3A-2D95-4EAE-94B9-49CA634C9AA1}
-9830654.74340461,4876082.07861444,3669,Cast Aluminum,Other,Cobra,LED,,SL131,1239310.50391,990703.97793,8,2018/01/01 06:00:00+00,9902,No,,Black,Sternberg,GE,Yes,,GPS,,,{CBAE48B4-7321-40B7-A5DE-A35B31C32660}
-9830652.9240001,4876110.48024135,3670,Cast Aluminum,Other,Teardrop,LED,,SL131,1239382.40312,990708.585,2,2018/01/01 06:00:00+00,9903,No,B,Black,Sternberg,GE,Yes,,GPS,,,{ED22ABA7-F8C6-453B-A73D-8D6505DBC292}
-9830620.45714293,4876174.20765304,3671,Cast Aluminum,Other,Cobra,LED,,SL131,1239542.35915,990789.76941,8,2018/01/01 06:00:00+00,9904,No,B,Black,Sternberg,GE,Yes,,GPS,,,{FDA0EA36-15B1-48CA-99D8-62AE56AFDF52}
-9830607.33094737,4876194.49934454,3672,Cast Aluminum,Other,Teardrop,LED,,SL131,1239594.33198,990825.00679,2,2018/01/01 06:00:00+00,9905,No,B,Black,Sternberg,GE,Yes,,GPS,,,{4591202B-34A0-4B42-A5A6-D059129E60FD}
-9830612.46320318,4876240.60339869,3673,Cast Aluminum,Other,Teardrop,LED,,SL131,1239708.6331,990810.39798,2,2018/01/01 06:00:00+00,9906,No,B,Black,Sternberg,GE,Yes,,GPS,,,{8F3DBB14-AF81-4345-8A88-FD28CA5614F1}
-9830636.80168553,4876244.00278687,3674,Cast Aluminum,Other,Cobra,LED,,SL131,1239716.98218,990749.23079,8,2018/01/01 06:00:00+00,9907,No,B,Black,Sternberg,GE,Yes,,GPS,,,{EC23333E-0885-4DE7-9EFE-A2BB6401BD08}
-9830700.28072821,4876241.59834404,3675,Cast Aluminum,Other,Teardrop,LED,,SL131,1239711.21939,990589.74083,2,2018/01/01 06:00:00+00,9908,No,B,Black,Sternberg,GE,Yes,,GPS,,,{AB8666A7-1373-40E6-BE17-AA767A5C559F}
-9830732.66671728,4876245.3877415,3676,Cast Aluminum,Other,Cobra,LED,,SL131,1239720.23779,990508.70928,8,2018/01/01 06:00:00+00,9909,No,B,Black,Sternberg,GE,Yes,,GPS,,,{F0032B88-2CBB-43C3-8B22-4AC2DDE15E49}
-9830809.68194599,4876266.11957776,3677,Cast Aluminum,Other,Cobra,LED,,SL131,1239773.55434,990315.5798,8,2018/01/01 06:00:00+00,9910,No,C,Black,Sternberg,GE,Yes,,GPS,,,{A0901B01-7F06-44AC-A907-A76A86D01450}
-9830813.94658353,4876296.54832481,3678,Cast Aluminum,Other,Teardrop,LED,,SL131,1239849.75088,990304.83973,2,2018/01/01 06:00:00+00,9911,No,C,Black,Sternberg,GE,Yes,,GPS,,,{ADA19892-558E-4EF5-9E18-84DCE4A707B4}
-9830809.7296535,4876378.29070262,3679,Cast Aluminum,Other,Cobra,LED,,SL131,1240054.45082,990315.39152,8,2018/01/01 06:00:00+00,9912,No,C,Black,Sternberg,GE,Yes,,GPS,,,{82B30077-BC8B-45E8-8FE9-3ED65D9EC2B5}
-9830812.58199645,4876403.605649,3680,Cast Aluminum,Other,Teardrop,LED,,SL131,1240117.84152,990308.20525,2,2018/01/01 06:00:00+00,9913,No,C,Black,Sternberg,GE,Yes,,GPS,,,{BFD7DBB8-7D9F-4162-9EF9-A7846119431F}
-9830808.40409429,4876482.39225922,3681,Cast Aluminum,Other,Cobra,LED,,SL131,1240315.13755,990318.66058,8,2018/01/01 06:00:00+00,9914,No,C,Black,Sternberg,GE,Yes,,GPS,,,{37B1C73D-C79C-4DA1-9F5F-8DE03E3EE0D4}
